mean,var,shape,scale
1e-10,0.01993987981963928,5.015075361763591e-19,199398798.1963928
1e-10,0.020040080220240484,4.9899999850799e-19,200400802.20240483
1e-10,0.020140280620841684,4.965174114630628e-19,201402806.20841682
1e-10,0.020240481021442887,4.94059404487766e-19,202404810.21442887
1e-10,0.02034068142204409,4.916256143298406e-19,203406814.2204409
1e-10,0.020440881822645293,4.892156848596213e-19,204408818.22645292
1e-10,0.020541082223246496,4.86829266896314e-19,205410822.23246497
1e-10,0.020641282623847696,4.844660180393346e-19,206412826.23847696
1e-10,0.0207414830244489,4.821256025045345e-19,207414830.24448898
1e-10,0.020841683425050102,4.798076909651535e-19,208416834.250501
1e-10,0.020941883825651306,4.775119603973352e-19,209418838.25651306
1e-10,0.021042084226252505,4.75238093930059e-19,210420842.26252505
1e-10,0.02114228462685371,4.729857806993374e-19,211422846.26853707
1e-10,0.021242485027454912,4.707547157065414e-19,212424850.2745491
1e-10,0.021342685428056115,4.685445996807159e-19,213426854.28056115
1e-10,0.021442885828657318,4.66355138944755e-19,214428858.28657317
1e-10,0.021543086229258518,4.641860452853132e-19,215430862.29258516
1e-10,0.02164328662985972,4.620370358263289e-19,216432866.29859722
1e-10,0.021743487030460924,4.59907832906046e-19,217434870.30460924
1e-10,0.021843687431062127,4.577981639574194e-19,218436874.31062126
1e-10,0.021943887831663327,4.557077613917975e-19,219438878.31663325
1e-10,0.02204408823226453,4.536363624857769e-19,220440882.3226453
1e-10,0.022144288632865734,4.515837092711288e-19,221442886.32865733
1e-10,0.022244489033466937,4.495495484277007e-19,222444890.33466935
1e-10,0.022344689434068137,4.475336311791993e-19,223446894.34068134
1e-10,0.02244488983466934,4.45535713191765e-19,224448898.3466934
1e-10,0.022545090235270543,4.435555544752514e-19,225450902.35270542
1e-10,0.022645290635871746,4.41592919287125e-19,226452906.35871744
1e-10,0.02274549103647295,4.396475760389062e-19,227454910.3647295
1e-10,0.02284569143707415,4.377192972050709e-19,228456914.3707415
1e-10,0.022945891837675352,4.358078592343395e-19,229458918.3767535
1e-10,0.023046092238276555,4.339130424632816e-19,230460922.38276553
1e-10,0.02314629263887776,4.3203463103216208e-19,231462926.38877758
1e-10,0.02324649303947896,4.3017241280296524e-19,232464930.39478958
1e-10,0.02334669344008016,4.2832617927952995e-19,233466934.4008016
1e-10,0.023446893840681365,4.264957255297319e-19,234468938.40681365
1e-10,0.023547094241282568,4.2468085010965324e-19,235470942.41282567
1e-10,0.02364729464188377,4.2288135498967967e-19,236472946.4188377
1e-10,0.02374749504248497,4.21097045482469e-19,237474950.4248497
1e-10,0.023847695443086174,4.19327730172735e-19,238476954.43086174
1e-10,0.023947895843687377,4.1757322084879465e-19,239478958.43687376
1e-10,0.02404809624428858,4.158333324358264e-19,240480962.4428858
1e-10,0.02414829664488978,4.141078829307898e-19,241482966.44889778
1e-10,0.024248497045490983,4.123966933389591e-19,242484970.45490983
1e-10,0.024348697446092187,4.106995876120239e-19,243486974.46092185
1e-10,0.02444889784669339,4.090163925877116e-19,244488978.46693388
1e-10,0.02454909824729459,4.0734693793088883e-19,245490982.4729459
1e-10,0.024649298647895793,4.056910560760989e-19,246492986.47895792
1e-10,0.024749499048496996,4.0404858217149603e-19,247494990.48496994
