mean,var,beta_alpha,beta_beta,beta_feasible
0.01402805621,0.01002004017,0.005335721541,0.3750249971,True
0.01402805621,0.01022044097,0.004956039628,0.3483387828,True
0.01402805621,0.01042084177,0.004590960865,0.3226789614,True
0.01402805621,0.01062124257,0.00423965866,0.2979874351,True
0.01402805621,0.01082164338,0.003901367647,0.2742104098,True
0.01402805621,0.01102204418,0.003575378125,0.2512980036,True
0.01402805621,0.01122244498,0.003261031086,0.2292038976,True
0.01402805621,0.01142284578,0.002957713768,0.2078850233,True
0.01402805621,0.01162324658,0.002664855667,0.1873012827,True
0.01402805621,0.01182364738,0.00238192496,0.167415296,True
0.01402805621,0.01202404818,0.002108425276,0.1481921755,True
0.01402805621,0.01222444899,0.001843892795,0.1295993212,True
0.01402805621,0.01242484979,0.001587893619,0.1116062364,True
0.01402805621,0.01262525059,0.001340021402,0.0941843607,True
0.01402805621,0.01282565139,0.001099895191,0.07730691858,True
0.01402805621,0.01302605219,0.0008671574788,0.06094878236,True
0.01402805621,0.01322645299,0.0006414724246,0.04508634724,True
0.01402805621,0.01342685379,0.0004225242376,0.02969741763,True
0.01402805621,0.0136272546,0.0002100157032,0.0147611036,True
0.01402805621,0.0138276554,3.666836353e-06,0.0002577262104,True
0.01603206423,1e-10,2529064.071,155221306.4,True
0.01603206423,0.0002004009014,1.245970287,76.47142586,True
0.01603206423,0.0004008017028,0.6149692686,37.74373862,True
0.01603206423,0.0006012025042,0.404635526,24.83450525,True
0.01603206423,0.0008016033056,0.2994686415,18.37988776,True
0.01603206423,0.001002004107,0.2363685067,14.50711701,True
0.01603206423,0.001202404908,0.1943017484,11.92526973,True
0.01603206423,0.00140280571,0.164254063,10.08109305,True
0.01603206423,0.001603206511,0.1417182985,8.697960516,True
0.01603206423,0.001803607313,0.1241904814,7.622190747,True
0.01603206423,0.002004008114,0.1101682275,6.761574922,True
0.01603206423,0.002204408915,0.09869547425,6.057434694,True
0.01603206423,0.002404809717,0.08913484644,5.470651166,True
0.01603206423,0.002605210518,0.08104508439,4.974142023,True
0.01603206423,0.00280561132,0.07411100259,4.548562756,True
0.01603206423,0.003006012121,0.06810146501,4.179727389,True
0.01603206423,0.003206412922,0.06284311959,3.856996441,True
0.01603206423,0.003406813724,0.05820340303,3.572233839,True
0.01603206423,0.003607214525,0.05407921052,3.319111525,True
0.01603206423,0.003807615327,0.05038914353,3.092633665,True
0.01603206423,0.004008016128,0.04706808322,2.88880359,True
0.01603206423,0.004208416929,0.04406331437,2.704385902,True
0.01603206423,0.004408817731,0.04133170631,2.536733459,True
0.01603206423,0.004609218532,0.03883762939,2.383659489,True
0.01603206423,0.004809619334,0.0365513922,2.243341682,True
0.01603206423,0.005010020135,0.03444805398,2.1142493,True
0.01603206423,0.005210420936,0.03250651101,1.995087101,True
0.01603206423,0.005410821738,0.03070878604,1.884751731,True
0.01603206423,0.005611222539,0.02903946999,1.782297459,True
0.01603206423,0.005811623341,0.02748527918,1.686908999,True
0.01603206423,0.006012024142,0.02603470109,1.597879769,True
0.01603206423,0.006212424943,0.02467770868,1.514594361,True
0.01603206423,0.006412825745,0.0234055283,1.43651429,True
0.01603206423,0.006613226546,0.02221044975,1.363166345,True
0.01603206423,0.006813627348,0.02108566995,1.294132985,True
0.01603206423,0.007014028149,0.02002516327,1.229044388,True
0.01603206423,0.007214428951,0.01902357363,1.167571824,True
0.01603206423,0.007414829752,0.01807612397,1.109422102,True
