mean,var,mu,sigma
1e-10,0.0024949900300601205,-43.05496658700365,6.329157235693105
1e-10,0.00250501006993988,-43.05697059762226,6.329473859284325
1e-10,0.002515030109819639,-43.058966608177506,6.329789203162622
1e-10,0.0025250501496993987,-43.06095468228844,6.330103277569487
1e-10,0.0025350701895791583,-43.06293488281821,6.330416092624206
1e-10,0.002545090229458918,-43.06490727188607,6.330727658325797
1e-10,0.0025551102693386774,-43.06687191087897,6.331037984554905
1e-10,0.002565130309218437,-43.0688288604631,6.331347081075661
1e-10,0.0025751503490981965,-43.070778180595084,6.331654957537505
1e-10,0.002585170388977956,-43.072719930533026,6.331961623476973
1e-10,0.0025951904288577157,-43.07465416884732,6.332267088319452
1e-10,0.002605210468737475,-43.076580953431204,6.3325713613808965
1e-10,0.0026152305086172348,-43.07850034151126,6.332874451869515
1e-10,0.002625250548496994,-43.08041238965748,6.333176368887421
1e-10,0.0026352705883767535,-43.0823171537934,6.333477121432262
1e-10,0.002645290628256513,-43.08421468920581,6.333776718398802
1e-10,0.0026553106681362726,-43.08610505055444,6.3340751685804895
1e-10,0.002665330708016032,-43.08798829188139,6.334372480670982
1e-10,0.0026753507478957917,-43.0898644666204,6.3346686632656555
1e-10,0.0026853707877755512,-43.09173362760597,6.334963724863073
1e-10,0.002695390827655311,-43.09359582708224,6.335257673866437
1e-10,0.0027054108675350704,-43.0954511167118,6.335550518585002
1e-10,0.00271543090741483,-43.09729954758427,6.33584226723548
1e-10,0.0027254509472945895,-43.099141170224726,6.336132927943394
1e-10,0.0027354709871743486,-43.100976034602006,6.336422508744433
1e-10,0.002745491027054108,-43.10280419013685,6.336711017585762
1e-10,0.0027555110669338677,-43.10462568570988,6.336998462327322
1e-10,0.0027655311068136273,-43.10644056966942,6.337284850743094
1e-10,0.002775551146693387,-43.108248889839246,6.3375701905223565
1e-10,0.0027855711865731464,-43.11005069352609,6.337854489270898
1e-10,0.002795591226452906,-43.11184602752712,6.33813775451223
1e-10,0.0028056112663326655,-43.11363493813719,6.338419993688763
1e-10,0.002815631306212425,-43.11541747115602,6.338701214162971
1e-10,0.0028256513460921846,-43.11719367189523,6.338981423218524
1e-10,0.002835671385971944,-43.11896358518526,6.339260628061416
1e-10,0.0028456914258517033,-43.120727255382164,6.339538835821057
