mean,var,M1_final,M2_final
1e-10,0.002254509072945892,2.3101508485034036e-106,1.0
1e-10,0.0022645291128256515,2.3101508498918895e-106,1.0
1e-10,0.002274549152705411,2.31015085549679e-106,1.0
1e-10,0.0022845691925851707,2.310150847565413e-106,1.0
1e-10,0.0022945892324649298,2.310150856007043e-106,1.0
1e-10,0.0023046092723446893,2.3101509324809727e-106,1.0
1e-10,0.002314629312224449,2.310151281276227e-106,1.0
1e-10,0.0023246493521042084,2.310150985681806e-106,1.0
1e-10,0.002334669391983968,2.3101508487700887e-106,1.0
1e-10,0.0023446894318637276,2.310150965543366e-106,1.0
1e-10,0.002354709471743487,2.3101508469269915e-106,1.0
1e-10,0.0023647295116232467,2.310150849577966e-106,1.0
1e-10,0.0023747495515030062,2.310150877147127e-106,1.0
1e-10,0.002384769591382766,2.310150857430021e-106,1.0
1e-10,0.0023947896312625254,2.3101508512676167e-106,1.0
1e-10,0.0024048096711422845,2.310150846600292e-106,1.0
1e-10,0.002414829711022044,2.310150876595718e-106,1.0
1e-10,0.0024248497509018036,2.310150860949217e-106,1.0
1e-10,0.002434869790781563,2.3101508721370915e-106,1.0
1e-10,0.0024448898306613227,2.31015108966394e-106,1.0
1e-10,0.0024549098705410823,2.3101512808448395e-106,1.0
1e-10,0.002464929910420842,2.310150852371079e-106,1.0
1e-10,0.0024749499503006014,2.310150876200839e-106,1.0
1e-10,0.002484969990180361,2.31015085101874e-106,1.0
1e-10,0.0024949900300601205,2.310150847775197e-106,1.0
1e-10,0.00250501006993988,2.3101523392286798e-106,1.0
1e-10,0.002515030109819639,2.3101508517764525e-106,1.0
1e-10,0.0025250501496993987,2.3101511600467546e-106,1.0
1e-10,0.0025350701895791583,2.31015092233156e-106,1.0
1e-10,0.002545090229458918,2.3101508521796213e-106,1.0
1e-10,0.0025551102693386774,2.3101509154563843e-106,1.0
1e-10,0.002565130309218437,2.310150848580747e-106,1.0
1e-10,0.0025751503490981965,2.310150848709943e-106,1.0
1e-10,0.002585170388977956,2.310150848487426e-106,1.0
1e-10,0.0025951904288577157,2.310150846919163e-106,1.0
1e-10,0.002605210468737475,2.3101508498431684e-106,1.0
1e-10,0.0026152305086172348,2.3101508503015642e-106,1.0
1e-10,0.002625250548496994,2.310150848457957e-106,1.0
1e-10,0.0026352705883767535,2.310150910618263e-106,1.0
1e-10,0.002645290628256513,2.310150851119165e-106,1.0
1e-10,0.0026553106681362726,2.3101508478496966e-106,1.0
1e-10,0.002665330708016032,2.310150853755394e-106,1.0
1e-10,0.0026753507478957917,2.3101508485641027e-106,1.0
1e-10,0.0026853707877755512,2.310150854337712e-106,1.0
1e-10,0.002695390827655311,2.310150848951776e-106,1.0
1e-10,0.0027054108675350704,2.310150852528694e-106,1.0
1e-10,0.00271543090741483,2.3101508478344937e-106,1.0
1e-10,0.0027254509472945895,2.310150860463448e-106,1.0
1e-10,0.0027354709871743486,2.310150859353464e-106,1.0
1e-10,0.002745491027054108,2.310150848336199e-106,1.0
1e-10,0.0027555110669338677,2.3101508475468483e-106,1.0
1e-10,0.0027655311068136273,2.310150858170942e-106,1.0
1e-10,0.002775551146693387,2.3101508656966594e-106,1.0
1e-10,0.0027855711865731464,2.3101508634789083e-106,1.0
1e-10,0.002795591226452906,2.310150851760399e-106,1.0
1e-10,0.0028056112663326655,2.3101508896163604e-106,1.0
1e-10,0.002815631306212425,2.3101508484477734e-106,1.0
1e-10,0.0028256513460921846,2.310150850171023e-106,1.0
1e-10,0.002835671385971944,2.3101508477135774e-106,1.0
1e-10,0.0028456914258517033,2.310150851638776e-106,1.0
1e-10,0.002855711465731463,2.310151038599679e-106,1.0
1e-10,0.0028657315056112224,2.3101508707719447e-106,1.0
1e-10,0.002875751545490982,2.3101508474499676e-106,1.0
1e-10,0.0028857715853707415,2.3101508576064005e-106,1.0
1e-10,0.002895791625250501,2.310150896745659e-106,1.0
1e-10,0.0029058116651302607,2.3101508543656432e-106,1.0
1e-10,0.0029158317050100202,2.3101508488986186e-106,1.0
1e-10,0.0029258517448897798,2.310150866237149e-106,1.0
1e-10,0.0029358717847695393,2.310150848951991e-106,1.0
1e-10,0.002945891824649299,2.310150847379407e-106,1.0
1e-10,0.002955911864529058,2.3101508502942567e-106,1.0
1e-10,0.0029659319044088176,2.3101508563423236e-106,1.0
1e-10,0.002975951944288577,2.310150849194616e-106,1.0
1e-10,0.0029859719841683367,2.310150854679933e-106,1.0
1e-10,0.0029959920240480963,2.3101508537088246e-106,1.0
1e-10,0.003006012063927856,2.3101508483795824e-106,1.0
1e-10,0.0030160321038076154,2.3101508486427226e-106,1.0
1e-10,0.003026052143687375,2.3101508471256787e-106,1.0
1e-10,0.0030360721835671345,2.3101508480224084e-106,1.0
1e-10,0.003046092223446894,2.310150857888711e-106,1.0
1e-10,0.0030561122633266536,2.3101511044277385e-106,1.0
1e-10,0.003066132303206413,2.3101508748059424e-106,1.0
1e-10,0.0030761523430861723,2.310150856723909e-106,1.0
1e-10,0.003086172382965932,2.310150847231786e-106,1.0
1e-10,0.0030961924228456914,2.3101508687231093e-106,1.0
1e-10,0.003106212462725451,2.310150852492615e-106,1.0
1e-10,0.0031162325026052105,2.3101508503316223e-106,1.0
1e-10,0.00312625254248497,2.310150847904387e-106,1.0
1e-10,0.0031362725823647296,2.310150848247714e-106,1.0
1e-10,0.003146292622244489,2.310150882995469e-106,1.0
1e-10,0.0031563126621242488,2.3101529011803594e-106,1.0
1e-10,0.0031663327020040083,2.310150846901756e-106,1.0
1e-10,0.003176352741883768,2.3101508485673847e-106,1.0
1e-10,0.003186372781763527,2.3101508496763014e-106,1.0
1e-10,0.0031963928216432866,2.310152726481143e-106,1.0
1e-10,0.003206412861523046,2.3101508508213406e-106,1.0
1e-10,0.0032164329014028057,2.3101508526457545e-106,1.0
1e-10,0.0032264529412825652,2.3101508494247276e-106,1.0
1e-10,0.003236472981162325,2.310150849969192e-106,1.0
1e-10,0.0032464930210420843,2.3101508799368595e-106,1.0
1e-10,0.003256513060921844,2.31015085159102e-106,1.0
1e-10,0.0032665331008016035,2.3101508495342315e-106,1.0
1e-10,0.003276553140681363,2.3101508483952426e-106,1.0
1e-10,0.0032865731805611226,2.310150847966438e-106,1.0
1e-10,0.0032965932204408817,2.310150926324101e-106,1.0
1e-10,0.0033066132603206413,2.310150848509928e-106,1.0
1e-10,0.003316633300200401,2.3101508533889615e-106,1.0
1e-10,0.0033266533400801604,2.3101508479965114e-106,1.0
